#addr	size	name	source	provenance
0x80028028	152	SSSTART_OBJ_170	main	-
0x800280e8	32	SsStart	main	-
0x80028128	76	SSSTART_OBJ_270	main	-
0x80028174	56	SSSTART_OBJ_2BC	main	-
0x800281c8	116	SetRCnt	main	-
0x8002823c	32	COUNTER_OBJ_74	main	-
0x80028264	48	GetRCnt	main	-
0x8002829c	48	StartRCnt	main	-
0x800282cc	52	StopRCnt	main	-
0x80028300	44	ResetRCnt	main	-
0x80028338	624	SsSeqCalledTbyT	main	-
0x800285a8	440	_SsSndCrescendo	main	-
0x80028760	80	CRES_OBJ_1B8	main	-
0x800287b8	152	_SsSndPause	main	-
0x80028888	220	_SsSeqPlay	main	-
0x80028984	264	_SsSeqGetEof	main	-
0x80028b5c	84	MIDIREAD_OBJ_2D4	main	-
0x80028bc8	696	_SsGetSeqData	main	-
0x80028f78	164	_SsReadDeltaValue	main	-
0x80029028	252	_SsSndNextSep	main	-
0x80029128	96	_SsSndReplay	main	-
0x80029188	384	_SsSndStop	main	-
0x80029308	40	SsSeqStop	main	-
0x80029368	260	SsSetSerialVol	main	-
0x80029478	76	SsSetTickMode	main	-
0x800294c4	56	SSTICK_OBJ_4C	main	-
0x800294fc	36	switchD_80070350__caseD_4	main	-
0x80029520	32	switchD_80070350__caseD_1	main	-
0x80029578	36	switchD_80070350__caseD_0	main	-
0x800295c8	292	_SsSndTempo	main	-
0x800296f8	212	TEMPO_OBJ_130	main	-
0x800297e8	320	SsUtAllKeyOff	main	-
0x80029928	100	SsUtAutoPan	main	-
0x80029998	840	SsUtKeyOnV	main	-
0x80029ce0	116	SsUtKeyOffV	main	-
0x80029d58	464	FUN_80070bb4	main	-
0x80029f28	620	SeAutoPan	main	-
0x8002a194	856	SetAutoPan	main	-
0x8002a508	1156	_SsVmFlush	main	-
0x8002a998	836	_SsVmInit	main	-
0x8002ace8	52	note2pitch	main	-
0x8002ad1c	104	note2pitch2	main	-
0x8002ad84	288	SsPitchFromNote	main	-
0x8002aea8	1408	vmNoiseOn	main	-
0x8002b428	204	_SsVmKeyOffNow	main	-
0x8002b4f8	1232	_SsVmKeyOnNow	main	-
0x8002b9c8	1412	_SsVmSetSeqVol	main	-
0x8002bf4c	100	_SsVmGetSeqVol	main	-
0x8002c040	184	_SsVmSeqKeyOff	main	-
0x8002c0f8	184	_SsVmVSetUp	main	-
0x8002c1d8	128	SsVabClose	main	-
0x8002c258	52	SsVabOpenHead	main	-
0x8002c28c	104	VS_VH2_OBJ_34	main	-
0x8002c368	984	_SsVabOpenHeadWithMode	main	-
0x8002c748	164	SsVabTransBody	main	-
0x8002c808	40	SsVabTransCompleted	main	-
0x8002c858	232	_SpuInit	main	-
0x8002c940	112	SpuStart	main	-
0x8002c9d8	212	_spu_init	main	-
0x8002caac	428	SPU_OBJ_D4	main	-
0x8002cc58	272	SPU_OBJ_280	main	-
0x8002cd68	148	SPU_OBJ_390	main	-
0x8002ce18	172	_spu_FiDMA	main	-
0x8002ced4	168	_spu_Fr_	main	-
0x8002cf7c	488	_spu_t	main	-
0x8002d164	136	SPU_OBJ_78C	main	-
0x8002d1fc	112	_spu_Fw	main	-
0x8002d280	100	_spu_Fr	main	-
0x8002d2e4	60	_spu_FsetRXX	main	-
0x8002d328	156	_spu_FsetRXXa	main	-
0x8002d3cc	52	_spu_FgetRXXa	main	-
0x8002d408	76	_spu_FsetPCR	main	-
0x8002d4b0	64	_spu_Fw1ts	main	-
0x8002d548	116	SpuQuit	main	-
0x8002d5e8	76	SpuInitMalloc	main	-
0x8002d648	84	SpuMalloc	main	-
0x8002d69c	216	S_M_M_OBJ_54	main	-
0x8002d774	380	S_M_M_OBJ_12C	main	-
0x8002d918	84	_spu_gcSPU	main	-
0x8002d96c	112	S_M_INT_OBJ_54	main	-
0x8002d9dc	428	S_M_INT_OBJ_C4	main	-
0x8002db88	144	S_M_INT_OBJ_270	main	-
0x8002dc18	100	SpuFree	main	-
0x8002dcc8	304	_SpuSetAnyVoice	main	-
0x8002df88	72	SpuSetNoiseClock	main	-
0x8002e008	156	SpuClearReverbWorkArea	main	-
0x8002e0a4	212	S_CRWA_OBJ_9C	main	-
0x8002e1b8	44	_SpuIsInAllocateArea	main	-
0x8002e238	56	_SpuIsInAllocateArea_	main	-
0x8002e2c8	428	SpuSetKey	main	-
0x8002e488	92	SpuRead	main	-
0x8002e4e8	76	SpuSetTransferStartAddr	main	-
0x8002e578	136	SpuIsTransferCompleted	main	-
0x8002e638	40	FUN_80075494	main	-
0x8002e678	88	SpuSetCommonAttr	main	-
0x8002e710	128	S_SCA_OBJ_98	main	-
0x8002e7d0	284	S_SCA_OBJ_158	main	-
0x8002e9f8	316	SpuSetVoiceAttr	main	-
0x8002eb98	124	S_SVA_OBJ_1A0	main	-
0x8002ec78	512	S_SVA_OBJ_280	main	-
0x8002ee78	320	S_SVA_OBJ_480	main	-
0x8002efb8	56	S_SVA_OBJ_5C0	main	-
0x8002eff8	200	_spu_note2pitch	main	-
0x8002f0c8	136	_spu_pitch2note	main	-
0x8002f150	104	S_N2P_OBJ_158	main	-
0x8002f1b8	64	S_N2P_OBJ_1C0	main	-
0x8002f288	52	memcpy	main	-
0x8002f2c8	40	memset	main	-
0x8002f2f8	140	strcat	main	-
0x8002f3a8	92	strcmp	main	-
0x8002f418	68	strcpy	main	-
0x8002f468	52	strlen	main	-
0x8002f4a8	120	strncmp	main	-
0x8002f528	64	strncpy	main	-
0x8002f598	60	printf	main	-
0x8002f5d8	80	prnt	main	-
0x8002f628	44	PRNT_OBJ_50	main	-
0x8002f654	48	PRNT_OBJ_7C	main	-
0x8002f6c8	120	switchD_80076598__caseD_2e	main	-
0x8002f758	92	switchD_80076598__caseD_31	main	-
0x8002f7ec	48	switchD_80076598__caseD_64	main	-
0x8002f830	60	switchD_80076598__caseD_6e	main	-
0x8002f8b4	88	switchD_80076598__caseD_73	main	-
0x8002f958	52	switchD_80076598__caseD_78	main	-
0x8002f9a4	160	PRNT_OBJ_3CC	main	-
0x8002fa44	288	PRNT_OBJ_46C	main	-
0x8002fb64	164	PRNT_OBJ_58C	main	-
0x8002fc78	32	memchr	main	-
0x8002fc98	40	MEMCHR_OBJ_20	main	-
0x8002fd64	96	PUTCHAR_OBJ_9C	main	-
0x8002fdc4	60	_putchar_flash	main	-
0x8002fe9c	140	PUTCHAR_OBJ_1D4	main	-
0x8002ff38	144	sprintf	main	-
0x8002ffc8	300	SPRINTF_OBJ_90	main	-
0x800300f4	156	SPRINTF_OBJ_1BC	main	-
0x80030190	68	SPRINTF_OBJ_258	main	-
0x800301d4	36	SPRINTF_OBJ_29C	main	-
0x8003021c	32	SPRINTF_OBJ_2E4	main	-
0x8003023c	88	switchD_8007710c__caseD_64	main	-
0x80030294	52	switchD_8007710c__caseD_75	main	-
