#addr	size	name	source	provenance
0x800315a4	192	SsSetSerialAttr	main	-
0x80031664	80	SsSetMVol	main	-
0x800316b4	192	SSSTART_OBJ_0	main	-
0x80031774	176	SSSTART_OBJ_C0	main	-
0x80031824	152	SSSTART_OBJ_170	main	-
0x800318e4	32	SsStart	main	-
0x80031924	76	SSSTART_OBJ_270	main	-
0x80031970	56	SSSTART_OBJ_2BC	main	-
0x800319c4	116	SetRCnt	main	-
0x80031a38	32	COUNTER_OBJ_74	main	-
0x80031a60	48	GetRCnt	main	-
0x80031a98	48	StartRCnt	main	-
0x80031ac8	52	StopRCnt	main	-
0x80031afc	44	ResetRCnt	main	-
0x80031b34	624	SsSeqCalledTbyT	main	-
0x80031da4	440	_SsSndCrescendo	main	-
0x80031f5c	80	CRES_OBJ_1B8	main	-
0x80031fb4	152	_SsSndPause	main	-
0x80032084	220	_SsSeqPlay	main	-
0x80032180	264	_SsSeqGetEof	main	-
0x80032358	84	MIDIREAD_OBJ_2D4	main	-
0x800323c4	696	_SsGetSeqData	main	-
0x80032774	164	_SsReadDeltaValue	main	-
0x80032824	252	_SsSndNextSep	main	-
0x80032924	96	_SsSndReplay	main	-
0x80032984	384	_SsSndStop	main	-
0x80032b04	40	SsSeqStop	main	-
0x80032b64	260	SsSetSerialVol	main	-
0x80032c74	76	SsSetTickMode	main	-
0x80032cc0	56	SSTICK_OBJ_4C	main	-
0x80032cf8	36	switchD_80070350__caseD_4	main	-
0x80032d1c	32	switchD_80070350__caseD_1	main	-
0x80032d74	36	switchD_80070350__caseD_0	main	-
0x80032dc4	292	_SsSndTempo	main	-
0x80032ef4	212	TEMPO_OBJ_130	main	-
0x80032fe4	320	SsUtAllKeyOff	main	-
0x80033124	100	SsUtAutoPan	main	-
0x80033194	840	SsUtKeyOnV	main	-
0x800334dc	116	SsUtKeyOffV	main	-
0x80033554	464	FUN_80070bb4	main	-
0x80033724	620	SeAutoPan	main	-
0x80033990	856	SetAutoPan	main	-
0x80033d04	1156	_SsVmFlush	main	-
0x80034194	836	_SsVmInit	main	-
0x800344e4	52	note2pitch	main	-
0x80034518	104	note2pitch2	main	-
0x80034580	288	SsPitchFromNote	main	-
0x800346a4	1408	vmNoiseOn	main	-
0x80034c24	204	_SsVmKeyOffNow	main	-
0x80034cf4	1232	_SsVmKeyOnNow	main	-
0x800351c4	1412	_SsVmSetSeqVol	main	-
0x80035748	100	_SsVmGetSeqVol	main	-
0x8003583c	184	_SsVmSeqKeyOff	main	-
0x800358f4	184	_SsVmVSetUp	main	-
0x800359d4	128	SsVabClose	main	-
0x80035a54	52	SsVabOpenHead	main	-
0x80035a88	104	VS_VH2_OBJ_34	main	-
0x80035b64	984	_SsVabOpenHeadWithMode	main	-
0x80035f44	164	SsVabTransBody	main	-
0x80036004	40	SsVabTransCompleted	main	-
0x80036054	232	_SpuInit	main	-
0x8003613c	112	SpuStart	main	-
0x800361d4	212	_spu_init	main	-
0x800362a8	428	SPU_OBJ_D4	main	-
0x80036454	272	SPU_OBJ_280	main	-
0x80036564	148	SPU_OBJ_390	main	-
0x80036614	172	_spu_FiDMA	main	-
0x800366d0	168	_spu_Fr_	main	-
0x80036778	488	_spu_t	main	-
0x80036960	136	SPU_OBJ_78C	main	-
0x800369f8	112	_spu_Fw	main	-
0x80036a7c	100	_spu_Fr	main	-
0x80036ae0	60	_spu_FsetRXX	main	-
0x80036b24	156	_spu_FsetRXXa	main	-
0x80036bc8	52	_spu_FgetRXXa	main	-
0x80036c04	76	_spu_FsetPCR	main	-
0x80036cac	64	_spu_Fw1ts	main	-
0x80036d44	116	SpuQuit	main	-
0x80036de4	76	SpuInitMalloc	main	-
0x80036e44	84	SpuMalloc	main	-
0x80036e98	216	S_M_M_OBJ_54	main	-
0x80036f70	380	S_M_M_OBJ_12C	main	-
0x80037114	84	_spu_gcSPU	main	-
0x80037168	112	S_M_INT_OBJ_54	main	-
0x800371d8	428	S_M_INT_OBJ_C4	main	-
0x80037384	144	S_M_INT_OBJ_270	main	-
0x80037414	100	SpuFree	main	-
0x800374c4	304	_SpuSetAnyVoice	main	-
0x80037784	72	SpuSetNoiseClock	main	-
0x80037804	156	SpuClearReverbWorkArea	main	-
0x800378a0	212	S_CRWA_OBJ_9C	main	-
0x800379b4	44	_SpuIsInAllocateArea	main	-
0x80037a34	56	_SpuIsInAllocateArea_	main	-
0x80037ac4	428	SpuSetKey	main	-
0x80037c84	92	SpuRead	main	-
0x80037ce4	76	SpuSetTransferStartAddr	main	-
0x80037d74	136	SpuIsTransferCompleted	main	-
0x80037e34	40	FUN_80075494	main	-
0x80037e74	88	SpuSetCommonAttr	main	-
0x80037f0c	128	S_SCA_OBJ_98	main	-
0x80037fcc	284	S_SCA_OBJ_158	main	-
0x800381f4	316	SpuSetVoiceAttr	main	-
0x80038394	124	S_SVA_OBJ_1A0	main	-
0x80038474	512	S_SVA_OBJ_280	main	-
0x80038674	320	S_SVA_OBJ_480	main	-
0x800387b4	56	S_SVA_OBJ_5C0	main	-
0x800387f4	200	_spu_note2pitch	main	-
0x800388c4	136	_spu_pitch2note	main	-
0x8003894c	104	S_N2P_OBJ_158	main	-
0x800389b4	64	S_N2P_OBJ_1C0	main	-
0x80038ae4	148	sprintf	demo	ghidra
0x80038b78	300	SPRINTF_OBJ_94	demo	ghidra
0x80038ca4	156	SPRINTF_OBJ_1BC	main	-
