#addr	size	name
0x80047b6c	280	InitSprite
0x80047c84	288	SetupImageToPolyFT4
0x80047da4	324	SetupImageToPolyGT4
0x80047ee8	400	_PlayMusic
0x80048078	756	PlayVoice
0x8004836c	164	get_tim_from_archive
0x80048410	256	GetImage
0x80048510	208	GetArcData
0x800485e0	172	InitializeImage
0x8004868c	160	FUN_8004868c
0x8004872c	68	FUN_8004872c
0x80048770	176	PlayMusicFormID
0x80048820	52	FUN_80048820
0x80048854	176	FUN_80048854
0x80048904	68	FUN_8004f770
0x80048948	488	cbCheckCD
0x80048b30	356	CdaPlayXA
0x80048c94	128	CdaStop
0x80048d14	100	CdaGetCurrentLength
0x80048d78	16	FUN_80048d78
0x80048d88	20	FUN_80048d88
0x80048d9c	104	FUN_80048d9c
0x80048e04	512	SoundEx
0x80049004	192	SetupSoundEffect
0x800490c4	136	Sound
0x8004914c	288	check_for_known_button_combination
0x8004926c	476	FUN_8004926c
0x80049448	3604	FUN_80049448
0x8004a25c	800	FUN_8004a25c
0x8004a57c	1272	FUN_8004a57c
0x8004aa74	228	FUN_8004aa74
0x8004ab58	76	FUN_8004ab58
0x8004aba4	84	FUN_8004aba4
0x8004abf8	76	FUN_8004abf8
0x8004ac44	264	FUN_8004ac44
0x8004ad4c	72	FUN_8004ad4c
0x8004ad94	288	FUN_8004ad94
0x8004aeb4	288	FUN_8004aeb4
0x8004afd4	220	ResetInfoview
0x8004b0b0	676	FUN_8004b0b0
0x8004b354	412	FUN_8004b354
0x8004b4f0	200	FUN_8004b4f0
0x8004b5b8	56	FUN_8004b5b8
0x8004b5f0	56	FUN_8004b5f0
0x8004b628	148	FUN_8004b628
0x8004b6bc	84	FUN_8004b6bc
0x8004b710	84	DeleteCard
0x8004b764	56	FUN_8004b764
0x8004b79c	588	FUN_8004b79c
0x8004b9e8	352	FUN_8004b9e8
0x8004bb48	988	SetupTelop
0x8004bf24	1132	FUN_8004bf24
0x8004c390	76	load_font_image_into_global
0x8004c3dc	80	initialise_font
0x8004c42c	164	FUN_8004c42c
0x8004c4d0	388	FUN_8004c4d0
0x8004c654	624	jt_init4
0x8004c8c4	3796	FUN_8004c8c4
0x8004d798	540	FUN_8004d798
0x8004d9b4	920	FUN_8004d9b4
0x8004dd4c	920	FUN_8004dd4c
0x8004e0e4	636	FUN_8004e0e4
0x8004e360	1260	FUN_8004e360
0x8004e84c	1260	FUN_8004e84c
0x8004ed38	984	FUN_8004ed38
0x8004f110	984	FUN_8004f110
0x8004f4e8	460	FUN_8004f4e8
0x8004f6b4	672	FUN_8004f6b4
0x8004f954	1404	FUN_8004f954
0x8004fed0	2320	FUN_8004fed0
0x800507e0	1004	FUN_800507e0
0x80050bcc	1036	FUN_80050bcc
0x80050fd8	868	FUN_80050fd8
0x8005133c	1336	FUN_8005133c
0x80051874	4064	FUN_80051874
0x80052854	336	FUN_80052854
0x800529a4	508	FUN_800529a4
0x80052ba0	684	FUN_80052ba0
0x80052e4c	1196	FUN_80052e4c
0x800532f8	632	FUN_800532f8
0x80053570	3452	FUN_80053570
0x800542ec	232	FUN_800542ec
0x800543d4	400	FUN_800543d4
0x80054564	580	FUN_80054564
0x800547a8	680	FUN_800547a8
0x80054a50	676	FUN_80054a50
0x80054cf4	716	FUN_80054cf4
0x80054fc0	3192	FUN_80054fc0
0x80055c38	856	FUN_80055c38
0x80055f90	4212	FUN_80055f90
0x80057004	840	FUN_80057004
0x8005734c	416	FUN_8005734c
0x800574ec	856	FUN_800574ec
0x80057844	648	FUN_80057844
0x80057acc	3252	FUN_80057acc
0x80058780	552	FUN_80058780
0x800589a8	708	FUN_800589a8
0x80058c6c	5436	FUN_80058c6c
0x8005a1a8	460	FUN_8005a1a8
0x8005a374	828	FUN_8005a374
0x8005a6b0	88	FUN_8005a6b0
0x8005a708	704	FUN_8005a708
0x8005a9c8	44	FUN_8005a9c8
0x8005a9f4	156	FUN_8005a9f4
0x8005aa90	1196	FUN_8005aa90
0x8005af3c	1640	FUN_8005af3c
0x8005b5a4	572	FUN_8005b5a4
0x8005b7e0	1588	FUN_8005b7e0
0x8005be14	1040	FUN_8005be14
0x8005c224	508	FUN_8005c224
0x8005c420	4380	FUN_8005c420
0x8005d53c	500	FUN_8005d53c
0x8005d730	96	FUN_8005d730
0x8005d790	396	FUN_8005d790
