#addr	size	name
0x800489a4	572	load_image_data_into_registers_
0x80048be0	640	image_size_and_mem_to_gpu_
0x80048e60	56	FUN_80048e60
0x80048e98	64	FUN_80048e98
0x80048ed8	72	FUN_80048ed8
0x80048f20	48	FUN_80048f20
0x80048f50	36	FUN_80048f50
0x80048f74	688	load_image_into_gpu_with_dma_
0x80049224	608	FUN_80049224
0x80049484	336	FUN_80049484
0x800495d4	316	draw_sync_
0x80049710	52	FUN_80049710
0x80049744	324	FUN_80049744
0x80049888	632	FUN_80049888
0x80049b00	324	MoveImage2
0x80049c44	252	DrawOTag2
0x80049d40	40	FUN_80049d40
0x80049d68	44	FUN_80049d68
0x80049d94	16	FUN_80049d94
0x80049da4	64	GetTPage
0x80049de4	32	FUN_80049de4
0x80049e04	64	AddPrim
0x80049e44	32	FUN_80049e44
0x80049e64	48	SetSemiTrans
0x80049e94	32	FUN_80049e94
0x80049eb4	32	FUN_80049eb4
0x80049ed4	32	FUN_80049ed4
0x80049ef4	32	FUN_80049ef4
0x80049f14	52	DecDCTReset
0x80049f48	140	DecDCTGetEnv
0x80049fd4	164	DecDCTPutEnv
0x8004a078	124	DecDCTin
0x8004a0f4	32	FUN_8004a0f4
0x8004a114	60	DecDCTinSync
0x8004a150	96	DecDCToutSync
0x8004a1b0	36	FUN_8004a1b0
0x8004a1d4	240	FUN_8004a1d4
0x8004a2c4	144	FUN_8004a2c4
0x8004a354	140	FUN_8004a354
0x8004a3e0	148	FUN_8004a3e0
0x8004a474	148	FUN_8004a474
0x8004a508	24	FUN_8004a508
0x8004a520	180	FUN_8004a520
0x8004a5d4	848	FUN_8004a5d4
0x8004a924	240	DecDCTvlcBuild
0x8004aa14	44	MemCardInit
0x8004aa40	32	FUN_8004aa40
0x8004aa60	80	MemCardStart
0x8004aab0	64	MemCardStop
0x8004aaf0	104	FUN_8004aaf0
0x8004ab58	468	FUN_8004ab58
0x8004ad2c	104	FUN_8004ad2c
0x8004ad94	564	FUN_8004ad94
0x8004afc8	392	MemCardOpen
0x8004b150	252	MemCardClose
0x8004b24c	500	FUN_8004b24c
0x8004b440	316	FUN_8004b440
0x8004b57c	544	FUN_8004b57c
0x8004b79c	544	FUN_8004b79c
0x8004b9bc	608	MemCardGetDirentry
0x8004bc1c	20	FUN_8004bc1c
0x8004bc30	284	MemCardSync
0x8004bd4c	520	MemCardCreateFile
0x8004bf54	444	MemCardDeleteFile
0x8004c110	140	MemCardFormat
0x8004c19c	180	MemCardUnformat
0x8004c250	84	FUN_8004c250
0x8004c2a4	132	FUN_8004c2a4
0x8004c328	92	FUN_8004c328
0x8004c384	16	FUN_8004c384
0x8004c394	16	FUN_8004c394
0x8004c3a4	16	FUN_8004c3a4
0x8004c3b4	16	FUN_8004c3b4
0x8004c3c4	16	FUN_8004c3c4
0x8004c3d4	16	FUN_8004c3d4
0x8004c3e4	16	FUN_8004c3e4
0x8004c3f4	16	FUN_8004c3f4
0x8004c404	412	firstfile
0x8004c5a0	260	FIRST_OBJ_19C
0x8004c6a4	16	FUN_8004c6a4
0x8004c6b4	16	FUN_8004c6b4
0x8004c6c4	16	FUN_8004c6c4
0x8004c6d4	16	FUN_8004c6d4
0x8004c6e4	16	FUN_8004c6e4
0x8004c6f4	64	_card_clear
0x8004c734	16	FUN_8004c734
0x8004c744	124	UserFuncOpen
0x8004c7c0	108	UserFuncExecute
0x8004c82c	184	FUN_8004c82c
0x8004c8e4	48	_card_open
0x8004c914	476	_card_start
0x8004caf0	32	FUN_8004caf0
0x8004cb10	180	_card_stop
0x8004cbc4	264	_clr_card_event
0x8004cccc	216	FUN_8004cccc
0x8004cda4	216	FUN_8004cda4
0x8004ce7c	60	FUN_8004ce7c
0x8004ceb8	60	FUN_8004ceb8
0x8004cef4	16	FUN_8004cef4
0x8004cf04	108	InitCARD
0x8004cf70	56	StartCARD
0x8004cfa8	56	StopCARD
0x8004cfe0	304	FUN_8004cfe0
0x8004d110	48	StartPAD
0x8004d140	56	StopPAD
0x8004d178	120	FUN_8004d178
0x8004d1f0	56	FUN_8004d1f0
0x8004d228	104	FUN_8004d228
0x8004d290	68	FUN_8004d290
0x8004d2d4	16	FUN_8004d2d4
0x8004d2e4	16	FUN_8004d2e4
0x8004d2f4	16	FUN_8004d2f4
