#addr	size	name
0x800281c8	156	SetRCnt
0x80028264	56	GetRCnt
0x8002829c	48	StartRCnt
0x800282cc	52	StopRCnt
0x80028300	56	ResetRCnt
0x80028338	624	SsSeqCalledTbyT
0x800285a8	528	_SsSndCrescendo
0x800287b8	160	_SsSndPause
0x80028858	48	FUN_80028858
0x80028888	252	_SsSeqPlay
0x80028984	580	_SsSeqGetEof
0x80028bc8	944	_SsGetSeqData
0x80028f78	176	_SsReadDeltaValue
0x80029028	256	_SsSndNextSep
0x80029128	96	_SsSndReplay
0x80029188	384	_SsSndStop
0x80029308	96	SsSeqStop
0x80029368	272	SsSetSerialVol
0x80029478	76	SsSetTickMode
0x800294c4	260	SSTICK_OBJ_4C
0x800295c8	544	_SsSndTempo
0x800297e8	320	SsUtAllKeyOff
0x80029928	112	SsUtAutoPan
0x80029998	840	SsUtKeyOnV
0x80029ce0	120	SsUtKeyOffV
0x80029d58	464	FUN_80029d58
0x80029f28	620	SeAutoPan
0x8002a194	868	SetAutoPan
0x8002a4f8	16	FUN_8002a4f8
0x8002a508	1168	_SsVmFlush
0x8002a998	848	_SsVmInit
0x8002ace8	52	note2pitch
0x8002ad1c	104	note2pitch2
0x8002ad84	292	SsPitchFromNote
0x8002aea8	1408	vmNoiseOn
0x8002b428	208	_SsVmKeyOffNow
0x8002b4f8	1232	_SsVmKeyOnNow
0x8002b9c8	1412	_SsVmSetSeqVol
0x8002bf4c	244	_SsVmGetSeqVol
0x8002c040	184	_SsVmSeqKeyOff
0x8002c0f8	192	_SsVmVSetUp
0x8002c1b8	16	FUN_8002c1b8
0x8002c1c8	16	FUN_8002c1c8
0x8002c1d8	128	SsVabClose
0x8002c258	52	SsVabOpenHead
0x8002c28c	220	VS_VH2_OBJ_34
0x8002c368	992	_SsVabOpenHeadWithMode
0x8002c748	192	SsVabTransBody
0x8002c808	48	SsVabTransCompleted
0x8002c838	32	FUN_8002c838
0x8002c858	232	_SpuInit
0x8002c940	120	SpuStart
0x8002c9b8	16	FUN_8002c9b8
0x8002c9c8	16	FUN_8002c9c8
0x8002c9d8	212	_spu_init
0x8002caac	428	SPU_OBJ_D4
0x8002cc58	448	SPU_OBJ_280
0x8002ce18	188	_spu_FiDMA
0x8002ced4	168	_spu_Fr_
0x8002cf7c	640	_spu_t
0x8002d1fc	132	_spu_Fw
0x8002d280	100	_spu_Fr
0x8002d2e4	68	_spu_FsetRXX
0x8002d328	164	_spu_FsetRXXa
0x8002d3cc	60	_spu_FgetRXXa
0x8002d408	88	_spu_FsetPCR
0x8002d460	40	FUN_8002d460
0x8002d488	40	FUN_8002d488
0x8002d4b0	104	_spu_Fw1ts
0x8002d518	48	FUN_8002d518
0x8002d548	128	SpuQuit
0x8002d5c8	16	FUN_8002d5c8
0x8002d5d8	16	FUN_8002d5d8
0x8002d5e8	96	SpuInitMalloc
0x8002d648	84	SpuMalloc
0x8002d69c	636	S_M_M_OBJ_54
0x8002d918	768	_spu_gcSPU
0x8002dc18	128	SpuFree
0x8002dc98	48	FUN_8002dc98
0x8002dcc8	704	_SpuSetAnyVoice
0x8002df88	80	SpuSetNoiseClock
0x8002dfd8	48	FUN_8002dfd8
0x8002e008	416	SpuClearReverbWorkArea
0x8002e1a8	16	FUN_8002e1a8
0x8002e1b8	128	_SpuIsInAllocateArea
0x8002e238	144	_SpuIsInAllocateArea_
0x8002e2c8	448	SpuSetKey
0x8002e488	96	SpuRead
0x8002e4e8	96	SpuSetTransferStartAddr
0x8002e548	48	FUN_8002e548
0x8002e578	176	SpuIsTransferCompleted
0x8002e628	16	FUN_8002e628
0x8002e638	40	FUN_8002e638
0x8002e660	24	FUN_8002e660
0x8002e678	896	SpuSetCommonAttr
0x8002e9f8	1536	SpuSetVoiceAttr
0x8002eff8	208	_spu_note2pitch
0x8002f0c8	136	_spu_pitch2note
0x8002f150	104	S_N2P_OBJ_158
0x8002f1b8	64	S_N2P_OBJ_1C0
0x8002f1f8	32	FUN_8002f1f8
0x8002f218	112	FUN_8002f218
0x8002f288	64	memcpy
0x8002f2c8	48	memset
0x8002f2f8	176	strcat
0x8002f3a8	112	strcmp
0x8002f418	80	strcpy
0x8002f468	64	strlen
0x8002f4a8	128	strncmp
0x8002f528	112	strncpy
0x8002f598	64	printf
0x8002f5d8	1696	prnt
0x8002fc78	80	memchr
0x8002fcc8	252	FUN_8002fcc8
0x8002fdc4	356	_putchar_flash
0x8002ff28	16	FUN_8002ff28
0x8002ff38	2176	sprintf
0x800307b8	112	memmove
0x80030828	96	puts
0x80030888	60	rsin
0x800308c4	148	sin_1
0x80030958	168	rcos
0x80030a00	136	InitGeom
0x80030a88	144	SquareRoot0
0x80030b18	272	MulMatrix0
0x80030c28	352	ApplyMatrixLV
0x80030d88	164	PushMatrix
0x80030e2c	172	PopMatrix
0x80030ed8	272	MulMatrix
0x80030fe8	272	MulMatrix2
0x800310f8	48	TransMatrix
0x80031128	320	ScaleMatrix
0x80031268	48	SetRotMatrix
0x80031298	48	SetLightMatrix
0x800312c8	48	SetColorMatrix
0x800312f8	80	SetTransMatrix
0x80031348	200	SetVertexTri
0x80031410	12	FUN_80031410
0x8003141c	12	FUN_8003141c
0x80031428	16	FUN_80031428
0x80031438	32	SetBackColor
0x80031458	32	SetFarColor
0x80031478	32	FUN_80031478
0x80031498	16	FUN_80031498
0x800314a8	48	RotTransPers
0x800314d8	48	RotTrans
0x80031508	128	RotTransPers4
0x80031588	64	TransposeMatrix
0x800315c8	100	RotMatrix
0x8003162c	104	FGO_01_OBJ_64
0x80031694	148	FGO_01_OBJ_CC
